filename,rotation_deg,inner_shoulder_distance_px,wall_thickness_px,inner_shoulder_distance_mm,wall_thickness_mm
2026-06-04_09-16-15.png,-10.80,1629.5,928.0,65.18,37.12
2026-06-04_09-21-53.png,3.40,1723.2,930.0,68.93,37.20
2026-06-04_09-28-30.png,-7.10,1716.1,928.0,68.64,37.12
2026-06-04_09-30-46.png,0.00,1720.0,950.0,68.80,38.00
2026-06-04_09-33-46.png,-4.30,1704.0,929.0,68.16,37.16
2026-06-04_09-36-26.png,0.00,1745.0,931.0,69.80,37.24
2026-06-04_09-40-32.png,-7.90,1714.0,952.0,68.56,38.08
2026-06-04_09-45-17.png,1.10,1733.1,942.0,69.32,37.68
2026-06-04_09-51-41.png,1.10,1744.9,939.0,69.80,37.56
2026-06-04_09-56-47.png,2.50,1741.3,932.0,69.65,37.28
2026-06-04_10-01-41.png,-2.70,1694.3,928.0,67.77,37.12
2026-06-04_10-05-21.png,0.00,1744.6,928.0,69.78,37.12
2026-06-04_10-10-15.png,-5.50,1741.3,951.0,69.65,38.04
2026-06-04_10-15-45.png,-5.70,1717.0,934.0,68.68,37.36
2026-06-04_10-20-07.png,1.90,1752.6,947.0,70.10,37.88
2026-06-04_10-25-08.png,2.50,1752.8,964.0,70.11,38.56
2026-06-04_10-30-14.png,-3.80,1742.0,938.0,69.68,37.52
2026-06-04_10-35-59.png,-4.20,1710.1,942.0,68.40,37.68
2026-06-04_10-41-27.png,0.00,1745.2,942.0,69.81,37.68
2026-06-04_10-46-26.png,4.70,1737.7,939.0,69.51,37.56
2026-06-04_10-50-23.png,0.00,1728.1,934.0,69.13,37.36
2026-06-04_10-58-26.png,-3.40,1651.0,959.0,66.04,38.36
2026-06-04_11-01-28.png,1.20,1751.1,953.0,70.04,38.12
2026-06-04_11-10-38.png,-1.50,1729.0,949.0,69.16,37.96
2026-06-04_11-15-49.png,0.00,1727.1,912.0,69.09,36.48
2026-06-04_11-20-26.png,-2.80,1703.2,907.0,68.13,36.28
2026-06-04_11-25-18.png,2.30,1744.1,903.0,69.76,36.12
2026-06-04_11-32-25.png,-6.70,1700.0,899.0,68.00,35.96
2026-06-04_11-36-40.png,-6.60,1696.0,902.0,67.84,36.08
2026-06-04_11-40-31.png,1.50,1779.1,913.0,71.17,36.52
2026-06-04_11-45-39.png,-1.60,1803.9,925.0,72.16,37.00
2026-06-04_11-51-17.png,-7.30,1768.0,907.0,70.72,36.28
2026-06-04_12-55-36.png,-9.00,1791.0,909.0,71.64,36.36
2026-06-04_13-00-17.png,-3.10,1813.0,934.0,72.52,37.36
2026-06-04_13-05-36.png,-2.90,1778.0,902.0,71.12,36.08
2026-06-04_13-10-37.png,-4.70,1812.1,897.0,72.48,35.88
2026-06-04_13-16-05.png,1.70,1787.0,874.0,71.48,34.96
2026-06-04_13-20-49.png,-4.80,1813.3,898.0,72.53,35.92
2026-06-04_13-26-07.png,-5.10,1837.0,922.0,73.48,36.88
2026-06-04_13-30-41.png,-4.80,1835.0,917.0,73.40,36.68
2026-06-04_13-36-24.png,0.00,1812.1,917.0,72.48,36.68
2026-06-04_13-40-19.png,-4.80,1853.2,929.0,74.13,37.16
2026-06-04_13-46-06.png,-3.00,1837.7,907.0,73.51,36.28
2026-06-04_13-53-25.png,2.00,1810.1,927.0,72.40,37.08
2026-06-04_13-58-43.png,3.00,1852.0,927.0,74.08,37.08
2026-06-04_14-02-37.png,0.00,1838.1,977.0,73.52,39.08
2026-06-04_14-07-12.png,0.00,1803.0,983.0,72.12,39.32
2026-06-04_14-16-28.png,-5.50,1834.8,953.0,73.39,38.12
2026-06-04_14-20-32.png,-1.30,1810.0,960.0,72.40,38.40
2026-06-04_14-35-59.png,-3.00,1687.2,939.0,67.49,37.56
2026-06-04_14-40-42.png,-2.90,1798.3,950.0,71.93,38.00
2026-06-04_14-45-05.png,-4.40,1769.1,959.0,70.77,38.36
2026-06-04_14-51-20.png,0.00,1804.3,936.0,72.17,37.44
2026-06-04_14-56-36.png,-5.00,1789.4,953.0,71.58,38.12
2026-06-04_15-00-27.png,-2.10,1787.0,930.0,71.48,37.20
2026-06-04_15-05-40.png,1.10,1691.0,953.0,67.64,38.12
2026-06-04_15-10-36.png,-1.30,1819.0,965.0,72.76,38.60
2026-06-04_15-15-33.png,-3.50,1780.0,981.0,71.20,39.24
2026-06-04_15-21-36.png,-1.40,1759.0,956.0,70.36,38.24
2026-06-04_15-26-28.png,0.00,1760.0,972.0,70.40,38.88
2026-06-04_15-31-13.png,1.10,1753.2,949.0,70.13,37.96
2026-06-04_15-35-54.png,-4.20,1754.3,953.0,70.17,38.12
2026-06-04_15-41-05.png,-6.00,1768.0,954.0,70.72,38.16
2026-06-04_15-45-43.png,-2.20,1736.6,944.0,69.46,37.76
2026-06-04_15-50-44.png,0.00,1737.3,946.0,69.49,37.84
2026-06-04_15-55-51.png,0.00,1734.5,961.0,69.38,38.44
