filename,rotation_deg,inner_shoulder_distance_px,wall_thickness_px,inner_shoulder_distance_mm,wall_thickness_mm
2026-06-04_09-16-15.png,-10.80,1629.5,928.0,16.26,9.26
2026-06-04_09-21-53.png,3.40,1723.2,930.0,17.20,9.28
2026-06-04_09-28-30.png,-7.10,1716.1,928.0,17.13,9.26
2026-06-04_09-30-46.png,0.00,1720.0,950.0,17.16,9.48
2026-06-04_09-33-46.png,-4.30,1704.0,929.0,17.00,9.27
2026-06-04_09-36-26.png,0.00,1745.0,931.0,17.41,9.29
2026-06-04_09-40-32.png,-7.90,1714.0,952.0,17.10,9.50
2026-06-04_09-45-17.png,1.10,1733.1,942.0,17.29,9.40
2026-06-04_09-51-41.png,1.10,1744.9,939.0,17.41,9.37
2026-06-04_09-56-47.png,2.50,1741.3,932.0,17.38,9.30
2026-06-04_10-01-41.png,-2.70,1694.3,928.0,16.91,9.26
2026-06-04_10-05-21.png,0.00,1744.6,928.0,17.41,9.26
2026-06-04_10-10-15.png,-5.50,1741.3,951.0,17.38,9.49
2026-06-04_10-15-45.png,-5.70,1717.0,934.0,17.13,9.32
2026-06-04_10-20-07.png,1.90,1752.6,947.0,17.49,9.45
2026-06-04_10-25-08.png,2.50,1752.8,964.0,17.49,9.62
2026-06-04_10-30-14.png,-3.80,1742.0,938.0,17.38,9.36
2026-06-04_10-35-59.png,-4.20,1710.1,942.0,17.06,9.40
2026-06-04_10-41-27.png,0.00,1745.2,942.0,17.42,9.40
2026-06-04_10-46-26.png,4.70,1737.7,939.0,17.34,9.37
2026-06-04_10-50-23.png,0.00,1728.1,934.0,17.25,9.32
2026-06-04_10-58-26.png,-3.40,1651.0,959.0,16.48,9.57
2026-06-04_11-01-28.png,1.20,1751.1,953.0,17.47,9.51
2026-06-04_11-10-38.png,-1.50,1729.0,949.0,17.25,9.47
2026-06-04_11-15-49.png,0.00,1727.1,912.0,17.24,9.10
2026-06-04_11-20-26.png,-2.80,1703.2,907.0,17.00,9.05
2026-06-04_11-25-18.png,2.30,1744.1,903.0,17.40,9.01
2026-06-04_11-32-25.png,-6.70,1700.0,899.0,16.96,8.97
2026-06-04_11-36-40.png,-6.60,1696.0,902.0,16.92,9.00
2026-06-04_11-40-31.png,1.50,1779.1,913.0,17.75,9.11
2026-06-04_11-45-39.png,-1.60,1803.9,925.0,18.00,9.23
2026-06-04_11-51-17.png,-7.30,1768.0,907.0,17.64,9.05
2026-06-04_12-55-36.png,-9.00,1791.0,909.0,17.87,9.07
2026-06-04_13-00-17.png,-3.10,1813.0,934.0,18.09,9.32
2026-06-04_13-05-36.png,-2.90,1778.0,902.0,17.74,9.00
2026-06-04_13-10-37.png,-4.70,1812.1,897.0,18.08,8.95
2026-06-04_13-16-05.png,1.70,1787.0,874.0,17.83,8.72
2026-06-04_13-20-49.png,-4.80,1813.3,898.0,18.09,8.96
2026-06-04_13-26-07.png,-5.10,1837.0,922.0,18.33,9.20
2026-06-04_13-30-41.png,-4.80,1835.0,917.0,18.31,9.15
2026-06-04_13-36-24.png,0.00,1812.1,917.0,18.08,9.15
2026-06-04_13-40-19.png,-4.80,1853.2,929.0,18.49,9.27
2026-06-04_13-46-06.png,-3.00,1837.7,907.0,18.34,9.05
2026-06-04_13-53-25.png,2.00,1810.1,927.0,18.06,9.25
2026-06-04_13-58-43.png,3.00,1852.0,927.0,18.48,9.25
2026-06-04_14-02-37.png,0.00,1838.1,977.0,18.34,9.75
2026-06-04_14-07-12.png,0.00,1803.0,983.0,17.99,9.81
2026-06-04_14-16-28.png,-5.50,1834.8,953.0,18.31,9.51
2026-06-04_14-20-32.png,-1.30,1810.0,960.0,18.06,9.58
2026-06-04_14-35-59.png,-3.00,1687.2,939.0,16.84,9.37
2026-06-04_14-40-42.png,-2.90,1798.3,950.0,17.95,9.48
2026-06-04_14-45-05.png,-4.40,1769.1,959.0,17.65,9.57
2026-06-04_14-51-20.png,0.00,1804.3,936.0,18.00,9.34
2026-06-04_14-56-36.png,-5.00,1789.4,953.0,17.86,9.51
2026-06-04_15-00-27.png,-2.10,1787.0,930.0,17.83,9.28
2026-06-04_15-05-40.png,1.10,1691.0,953.0,16.87,9.51
2026-06-04_15-10-36.png,-1.30,1819.0,965.0,18.15,9.63
2026-06-04_15-15-33.png,-3.50,1780.0,981.0,17.76,9.79
2026-06-04_15-21-36.png,-1.40,1759.0,956.0,17.55,9.54
2026-06-04_15-26-28.png,0.00,1760.0,972.0,17.56,9.70
2026-06-04_15-31-13.png,1.10,1753.2,949.0,17.50,9.47
2026-06-04_15-35-54.png,-4.20,1754.3,953.0,17.51,9.51
2026-06-04_15-41-05.png,-6.00,1768.0,954.0,17.64,9.52
2026-06-04_15-45-43.png,-2.20,1736.6,944.0,17.33,9.42
2026-06-04_15-50-44.png,0.00,1737.3,946.0,17.34,9.44
2026-06-04_15-55-51.png,0.00,1734.5,961.0,17.31,9.59
